nom_de_la_commune,code_postal,ligne_5
VILLERET,2420,
BOISSY EN DROUAIS,28500,
ST PIERRE DE SALERNE,27800,
VILLERS ST CHRISTOPHE,2590,
BOISVILLE LA ST PERE,28150,
ST PIERRE LA GARENNE,27600,
VILLE SAVOYE,2220,
LA BOURDINIERE ST LOUP,28360,
ST SIMEON,27560,
VORGES,2860,
BONCOURT,28260,
ST SYLVESTRE DE CORMEILLES,27260,
VUILLERY,2880,
BONNEVAL,28800,
ST VIGOR,27930,
WIMY,2500,
BROUE,28410,
SURTAUVILLE,27400,
ABREST,3200,
CHAPELLE GUILLAUME,28330,
SURVILLE,27400,
ARRONNES,3250,
CHASSANT,28480,
THIBOUVILLE,27800,
AUTRY ISSARDS,3210,
CHATEAUNEUF EN THYMERAIS,28170,
TILLY,27510,
BARBERIER,3140,
CLOYES LES TROIS RIVIERES,28220,CHARRAY
LE TORPT,27210,
BOST,3300,
CLOYES LES TROIS RIVIERES,28220,ROMILLY SUR AIGRE
TOURNEDOS BOIS HUBERT,27180,
BRESSOLLES,3000,
CORANCEZ,28630,
LE TREMBLAY OMONVILLE,27110,
BRUGHEAS,3700,
COULOMBS,28210,
LE TRONCQ,27110,
CHAMBERAT,3370,
CRUCEY VILLAGES,28270,VITRAY SOUS BREZOLLES
LE TRONQUAY,27480,
CHAVROCHES,3220,
DANGERS,28190,
VALAILLES,27300,
CHEMILLY,3210,
ECROSNES,28320,
VENON,27110,
COULANGES,3470,
EPEAUTROLLES,28120,
LES VENTES,27180,
DEUX CHAISES,3240,
ERMENONVILLE LA GRANDE,28120,
VILLEZ SUR LE NEUBOURG,27110,
DIOU,3290,
FONTAINE SIMON,28240,
VIRONVAY,27400,
DOMERAT,3410,
FONTENAY SUR EURE,28630,
AUNAY SOUS AUNEAU,28700,
DOMPIERRE SUR BESBRE,3290,
FRAZE,28160,
AUNEAU BLEURY ST SYMPHORIEN,28700,AUNEAU
DURDAT LAREQUILLE,3310,
GALLARDON,28320,MONTLOUET
BAILLEAU L EVEQUE,28300,
EBREUIL,3450,
GARANCIERES EN DROUAIS,28500,
BARMAINVILLE,28310,
ESTIVAREILLES,3190,
GOUILLONS,28310,
BEAUMONT LES AUTELS,28480,
HAUTERIVE,3270,
GOUSSAINVILLE,28410,
BERCHERES ST GERMAIN,28300,
LALIZOLLE,3450,
INTREVILLE,28310,
BOISSY LES PERCHE,28340,
LAMAIDS,3380,
JANVILLE EN BEAUCE,28310,ALLAINES MERVILLIERS
LE BOULLAY MIVOYE,28210,
LANGY,3150,
LUISANT,28600,
BOUTIGNY PROUAIS,28410,PROUAIS
LODDES,3130,
MAGNY,28120,
BOUVILLE,28800,
LOUCHY MONTFAND,3500,
MAILLEBOIS,28170,
BRICONVILLE,28300,
LOUROUX DE BEAUNE,3600,
MAISONS,28700,
BU,28410,
LOUROUX DE BOUBLE,3330,
MEREGLISE,28120,
CHAMPROND EN GATINE,28240,
MARCILLAT EN COMBRAILLE,3420,
MOLEANS,28200,
LA CHAPELLE DU NOYER,28200,
MEAULNE VITRAY,3360,VITRAY
MONTBOISSIER,28800,
LA CHAPELLE FORAINVILLIERS,28500,
MEILLARD,3500,
NERON,28210,
CHARBONNIERES,28330,
MERCY,3340,
PIERRES,28130,
CHARTRES,28000,
MESPLES,3370,
PRE ST EVROULT,28800,
CHATAINCOURT,28270,
MOLINET,3510,
PUISEUX,28170,
CHAUFFOURS,28120,
MONTAIGUET EN FOREZ,3130,
ROUVRAY ST DENIS,28310,
CHERISY,28500,
MONTAIGU LE BLIN,3150,
ROUVRES,28260,
CINTRAY,28300,
MONTBEUGNY,3340,
VILLEMAURY,28200,LUTZ EN DUNOIS
CLOYES LES TROIS RIVIERES,28220,AUTHEUIL
MONTOLDRE,3150,
SAINTIGNY,28480,ST DENIS D AUTHOU
CLOYES LES TROIS RIVIERES,28220,DOUY
NADES,3450,
ST DENIS LANNERAY,28200,LANNERAY
CLOYES LES TROIS RIVIERES,28220,MONTIGNY LE GANNELON
NEUILLY EN DONJON,3130,
ST DENIS LANNERAY,28200,ST DENIS LES PONTS
CROISILLES,28210,
NIZEROLLES,3250,
ST PREST,28300,
DANGEAU,28160,
PARAY SOUS BRIAILLES,3500,
ST SAUVEUR MARVILLE,28170,MARVILLE LES BOIS
DROUE SUR DROUETTE,28230,
PERIGNY,3120,
SAINVILLE,28700,
FAVIERES,28170,
QUINSSAINES,3380,
SENANTES,28210,
LE GAULT ST DENIS,28800,
RONNET,3420,
THEUVILLE,28150,PEZY
GOMMERVILLE,28310,
ST ANGEL,3170,
